SCSI36_F,J
Pin,Type,Name,Side
1,bidirectional,1,left
2,bidirectional,2,left
3,bidirectional,3,left
4,bidirectional,4,left
5,bidirectional,5,left
6,bidirectional,6,left
7,bidirectional,7,left
8,bidirectional,8,left
9,bidirectional,9,left
10,bidirectional,10,left
11,bidirectional,11,left
12,bidirectional,12,left
13,bidirectional,13,left
14,bidirectional,14,left
15,bidirectional,15,left
16,bidirectional,16,left
17,power_in,17,left
18,bidirectional,18,left
19,bidirectional,19,right
20,bidirectional,20,right
21,bidirectional,21,right
22,bidirectional,22,right
23,bidirectional,23,right
24,bidirectional,24,right
25,bidirectional,25,right
26,bidirectional,26,right
27,bidirectional,27,right
28,bidirectional,28,right
29,bidirectional,29,right
30,bidirectional,30,right
31,bidirectional,31,right
32,bidirectional,32,right
33,bidirectional,33,right
34,bidirectional,34,right
35,power_in,35,right
36,bidirectional,36,right
