Z-Turn_Lite-flat,,,,
Pin,Type,Name,Side,Hidden
2,output,PS_RST_OUT,left,
4,bidirectional,IO_B35_LP3,left,
6,bidirectional,IO_B35_LN3,left,
8,passive,DGND,left,
10,bidirectional,IO_B35_LP4,left,
12,bidirectional,IO_B35_LN4,left,
14,bidirectional,IO_B35_LP6,left,
16,bidirectional,IO_B35_LN6,left,
18,passive,DGND,left,
20,passive,VDDIO_35_PL,left,
22,bidirectional,IO_B35_LP17,left,
24,bidirectional,IO_B35_LN17,left,
26,bidirectional,IO_B35_LP12,left,
28,bidirectional,IO_B35_LN12,left,
30,passive,DGND,left,
32,bidirectional,IO_B35_LP10,left,
34,bidirectional,IO_B35_LN10,left,
36,bidirectional,IO_B35_LP19,left,
38,bidirectional,IO_B35_LN19,left,
40,passive,DGND,left,
42,bidirectional,IO_B35_LP20,left,
44,bidirectional,IO_B35_LN20,left,
46,bidirectional,IO_B35_LP13,left,
48,bidirectional,IO_B35_LN13,left,
50,passive,DGND,left,
52,bidirectional,IO_B35_LP22,left,
54,bidirectional,IO_B35_LN22,left,
56,bidirectional,IO_B35_LP23,left,
58,bidirectional,IO_B35_LN23,left,
60,passive,DGND,left,
62,bidirectional,IO_B34_LP24,left,
64,bidirectional,IO_B34_LN24,left,
66,bidirectional,IO_B35_LP21,left,
68,bidirectional,IO_B35_LN21,left,
70,passive,VDDIO_34_PL,left,
72,passive,DGND,left,
74,bidirectional,IO_B34_LP19,left,
76,bidirectional,IO_B34_LN19,left,
78,bidirectional,IO_B34_LP15,left,
80,bidirectional,IO_B34_LN15,left,
82,passive,DGND,left,
84,bidirectional,IO_B34_LP16,left,
86,bidirectional,IO_B34_LN16,left,
88,bidirectional,IO_B34_LP20,left,
90,bidirectional,IO_B34_LN20,left,
92,passive,DGND,left,
94,bidirectional,IO_B34_LP21,left,
96,bidirectional,IO_B34_LN21,left,
98,bidirectional,IO_B34_LP18,left,
100,bidirectional,IO_B34_LN18,left,
102,passive,DGND,left,
104,bidirectional,IO_B34_LP17,left,
106,bidirectional,IO_B34_LN17,left,
108,bidirectional,IO_B34_LP8,left,
110,bidirectional,IO_B34_LN8,left,
112,passive,DGND,left,
114,passive,VBAT_KEY_BACK_1.8V,left,
116,passive,VDD_5V,left,
118,passive,VDD_5V,left,
120,passive,VDD_5V,left,
119,passive,VDD_5V,right,
117,passive,VDD_5V,right,
115,passive,VDD_5V,right,
113,passive,DGND,right,
111,passive,DGND,right,
109,bidirectional,IO_B34_LN7,right,
107,bidirectional,IO_B34_LP7,right,
105,bidirectional,IO_B34_LN10,right,
103,bidirectional,IO_B34_LP10,right,
101,passive,DGND,right,
99,bidirectional,IO_B34_LN11,right,
97,bidirectional,IO_B34_LP11,right,
95,bidirectional,IO_B34_LN22,right,
93,bidirectional,IO_B34_LP22,right,
91,passive,DGND,right,
89,bidirectional,IO_B34_LN12,right,
87,bidirectional,IO_B34_LP12,right,
85,bidirectional,IO_B34_LN9,right,
83,bidirectional,IO_B34_LP9,right,
81,passive,VDDIO_34_PL,right,
79,passive,DGND,right,
77,bidirectional,IO_B34_LN14,right,
75,bidirectional,IO_B34_LP14,right,
73,bidirectional,IO_B34_LN13,right,
71,bidirectional,IO_B34_LP13,right,
69,passive,DGND,right,
67,bidirectional,IO_B35_LN7,right,
65,bidirectional,IO_B35_LP7,right,
63,bidirectional,IO_B34_LN23,right,
61,bidirectional,IO_B34_LP23,right,
59,passive,DGND,right,
57,bidirectional,IO_B35_LN8,right,
55,bidirectional,IO_B35_LP8,right,
53,bidirectional,IO_B35_LN24,right,
51,bidirectional,IO_B35_LP24,right,
49,passive,DGND,right,
47,bidirectional,IO_B35_LN9,right,
45,bidirectional,IO_B35_LP9,right,
43,bidirectional,IO_B35_LN11,right,
41,bidirectional,IO_B35_LP11,right,
39,passive,DGND,right,
37,bidirectional,IO_B35_LN15,right,
35,bidirectional,IO_B35_LP15,right,
33,bidirectional,IO_B35_LN18,right,
31,bidirectional,IO_B35_LP18,right,
29,passive,DGND,right,
27,bidirectional,IO_B35_LN1,right,
25,bidirectional,IO_B35_LP1,right,
23,bidirectional,IO_B35_LN14,right,
21,bidirectional,IO_B35_LP14,right,
19,passive,VDDIO_35_PL,right,
17,passive,DGND,right,
15,bidirectional,IO_B35_LN16,right,
13,bidirectional,IO_B35_LP16,right,
11,bidirectional,IO_B35_LN5,right,
9,bidirectional,IO_B35_LP5,right,
7,passive,DGND,right,
5,bidirectional,IO_B35_LN2,right,
3,bidirectional,IO_B35_LP2,right,
1,input,EXT_RST_IN,right,
