Z-Turn_Lite,JX,,,
Pin,Unit,Type,Name,Side,Hidden
2,IO,output,PS_RST_OUT,left,
4,IO,bidirectional,IO_B35_LP3,left,
6,IO,bidirectional,IO_B35_LN3,left,
8,PWR,passive,DGND,right,
10,IO,bidirectional,IO_B35_LP4,left,
12,IO,bidirectional,IO_B35_LN4,left,
14,IO,bidirectional,IO_B35_LP6,left,
16,IO,bidirectional,IO_B35_LN6,left,
18,PWR,passive,DGND,right,
20,PWR,passive,VDDIO_35_PL,right,
22,IO,bidirectional,IO_B35_LP17,left,
24,IO,bidirectional,IO_B35_LN17,left,
26,IO,bidirectional,IO_B35_LP12,left,
28,IO,bidirectional,IO_B35_LN12,left,
30,PWR,passive,DGND,right,
32,IO,bidirectional,IO_B35_LP10,left,
34,IO,bidirectional,IO_B35_LN10,left,
36,IO,bidirectional,IO_B35_LP19,left,
38,IO,bidirectional,IO_B35_LN19,left,
40,PWR,passive,DGND,right,
42,IO,bidirectional,IO_B35_LP20,left,
44,IO,bidirectional,IO_B35_LN20,left,
46,IO,bidirectional,IO_B35_LP13,left,
48,IO,bidirectional,IO_B35_LN13,left,
50,PWR,passive,DGND,right,
52,IO,bidirectional,IO_B35_LP22,left,
54,IO,bidirectional,IO_B35_LN22,left,
56,IO,bidirectional,IO_B35_LP23,left,
58,IO,bidirectional,IO_B35_LN23,left,
60,PWR,passive,DGND,right,
62,IO,bidirectional,IO_B34_LP24,left,
64,IO,bidirectional,IO_B34_LN24,left,
66,IO,bidirectional,IO_B35_LP21,left,
68,IO,bidirectional,IO_B35_LN21,left,
70,PWR,passive,VDDIO_34_PL,right,
72,PWR,passive,DGND,right,
74,IO,bidirectional,IO_B34_LP19,left,
76,IO,bidirectional,IO_B34_LN19,left,
78,IO,bidirectional,IO_B34_LP15,left,
80,IO,bidirectional,IO_B34_LN15,left,
82,PWR,passive,DGND,right,
84,IO,bidirectional,IO_B34_LP16,left,
86,IO,bidirectional,IO_B34_LN16,left,
88,IO,bidirectional,IO_B34_LP20,left,
90,IO,bidirectional,IO_B34_LN20,left,
92,PWR,passive,DGND,right,
94,IO,bidirectional,IO_B34_LP21,left,
96,IO,bidirectional,IO_B34_LN21,left,
98,IO,bidirectional,IO_B34_LP18,left,
100,IO,bidirectional,IO_B34_LN18,left,
102,PWR,passive,DGND,right,
104,IO,bidirectional,IO_B34_LP17,left,
106,IO,bidirectional,IO_B34_LN17,left,
108,IO,bidirectional,IO_B34_LP8,left,
110,IO,bidirectional,IO_B34_LN8,left,
112,PWR,passive,DGND,right,
114,PWR,passive,VBAT_KEY_BACK_1.8V,right,
116,PWR,passive,VDD_5V,right,
118,PWR,passive,VDD_5V,right,
120,PWR,passive,VDD_5V,right,
119,PWR,passive,VDD_5V,right,
117,PWR,passive,VDD_5V,right,
115,PWR,passive,VDD_5V,right,
113,PWR,passive,DGND,right,
111,PWR,passive,DGND,right,
109,IO,bidirectional,IO_B34_LN7,right,
107,IO,bidirectional,IO_B34_LP7,right,
105,IO,bidirectional,IO_B34_LN10,right,
103,IO,bidirectional,IO_B34_LP10,right,
101,PWR,passive,DGND,right,
99,IO,bidirectional,IO_B34_LN11,right,
97,IO,bidirectional,IO_B34_LP11,right,
95,IO,bidirectional,IO_B34_LN22,right,
93,IO,bidirectional,IO_B34_LP22,right,
91,PWR,passive,DGND,right,
89,IO,bidirectional,IO_B34_LN12,right,
87,IO,bidirectional,IO_B34_LP12,right,
85,IO,bidirectional,IO_B34_LN9,right,
83,IO,bidirectional,IO_B34_LP9,right,
81,PWR,passive,VDDIO_34_PL,right,
79,PWR,passive,DGND,right,
77,IO,bidirectional,IO_B34_LN14,right,
75,IO,bidirectional,IO_B34_LP14,right,
73,IO,bidirectional,IO_B34_LN13,right,
71,IO,bidirectional,IO_B34_LP13,right,
69,PWR,passive,DGND,right,
67,IO,bidirectional,IO_B35_LN7,right,
65,IO,bidirectional,IO_B35_LP7,right,
63,IO,bidirectional,IO_B34_LN23,right,
61,IO,bidirectional,IO_B34_LP23,right,
59,PWR,passive,DGND,right,
57,IO,bidirectional,IO_B35_LN8,right,
55,IO,bidirectional,IO_B35_LP8,right,
53,IO,bidirectional,IO_B35_LN24,right,
51,IO,bidirectional,IO_B35_LP24,right,
49,PWR,passive,DGND,right,
47,IO,bidirectional,IO_B35_LN9,right,
45,IO,bidirectional,IO_B35_LP9,right,
43,IO,bidirectional,IO_B35_LN11,right,
41,IO,bidirectional,IO_B35_LP11,right,
39,PWR,passive,DGND,right,
37,IO,bidirectional,IO_B35_LN15,right,
35,IO,bidirectional,IO_B35_LP15,right,
33,IO,bidirectional,IO_B35_LN18,right,
31,IO,bidirectional,IO_B35_LP18,right,
29,PWR,passive,DGND,right,
27,IO,bidirectional,IO_B35_LN1,right,
25,IO,bidirectional,IO_B35_LP1,right,
23,IO,bidirectional,IO_B35_LN14,right,
21,IO,bidirectional,IO_B35_LP14,right,
19,PWR,passive,VDDIO_35_PL,right,
17,PWR,passive,DGND,right,
15,IO,bidirectional,IO_B35_LN16,right,
13,IO,bidirectional,IO_B35_LP16,right,
11,IO,bidirectional,IO_B35_LN5,right,
9,IO,bidirectional,IO_B35_LP5,right,
7,PWR,passive,DGND,right,
5,IO,bidirectional,IO_B35_LN2,right,
3,IO,bidirectional,IO_B35_LP2,right,
1,IO,input,EXT_RST_IN,right,

